idx,path_found,traj_success,contact_free,door_opened,door_width,door_height,x,y,z,rot_z,state_angle,axis_pos
23,True,True,True,True,0.397,0.483,-0.2991444555241631,0.6338948176837931,0.2695,81.8336668399633,-7.963315768182363,-1.0
24,True,True,True,True,0.397,0.483,-0.32937150402959575,0.6374715246818974,0.2695,71.30810465417534,-7.963315768182363,-1.0
25,True,True,True,True,0.397,0.483,-0.28483587781604536,0.6706616159088983,0.2695,86.88964238119456,-7.963315768182363,-1.0
26,True,True,True,True,0.397,0.483,-0.3246155621196846,0.681050319455391,0.2695,82.39061854972415,-7.963315768182363,-1.0
27,True,True,True,True,0.397,0.483,-0.28405765472755895,0.6759184142900465,0.2695,92.1164830398565,-7.963315768182363,-1.0
28,True,True,True,True,0.397,0.483,-0.3276217017066822,0.6895411527695641,0.2695,92.30203775555515,-7.963315768182363,-1.0
29,True,True,True,True,0.397,0.483,-0.32322563086946693,0.6307129831877347,0.2695,77.48579602471489,-7.963315768182363,-1.0
30,True,True,True,True,0.397,0.483,-0.09242959886046975,0.7032772171341033,0.2695,109.33420756841393,-7.963315768182363,-1.0
31,True,True,True,True,0.397,0.483,-0.2338972279125031,0.7061027013648269,0.2695,96.18184238961099,-7.963315768182363,-1.0
32,True,True,True,True,0.397,0.483,-0.21875939044428686,0.6721210063201497,0.2695,99.36513008032018,-7.963315768182363,-1.0
33,True,True,True,True,0.397,0.483,-0.23464895958493792,0.6773029719568427,0.2695,90.35583512633848,-7.963315768182363,-1.0
34,True,True,True,True,0.397,0.483,-0.33419160730830866,0.679934346314864,0.2695,70.31309597029504,-7.963315768182363,-1.0
35,True,True,True,True,0.397,0.483,-0.2781497901013774,0.6866451916504195,0.2695,93.44535879375998,-7.963315768182363,-1.0
36,True,True,True,True,0.397,0.483,-0.34049771883179214,0.6174786066436778,0.2695,73.47923860992695,-7.963315768182363,-1.0
37,True,True,True,True,0.397,0.483,-0.09460129746645429,0.708561491472343,0.2695,100.98752849554145,-7.963315768182363,-1.0
38,True,True,True,False,0.397,0.483,-0.2912960828338679,0.7083343337956807,0.2695,95.86536977151336,-7.963315768182363,-1.0
39,True,True,True,True,0.397,0.483,-0.08615422339433632,0.6863857167826506,0.2695,106.92455033541921,-7.963315768182363,-1.0
40,True,True,True,True,0.397,0.483,-0.27359597872176505,0.6766409242903362,0.2695,83.23383049932562,-7.963315768182363,-1.0
41,True,True,True,True,0.397,0.483,-0.2591563868677261,0.647480528576023,0.2695,75.69965999906911,-7.963315768182363,-1.0
42,True,True,True,True,0.397,0.483,-0.2799008450035757,0.6675557542220459,0.2695,99.87740917396087,-7.963315768182363,-1.0
43,True,True,True,True,0.397,0.483,-0.2903144222675591,0.664799452474957,0.2695,94.32335573875764,-7.963315768182363,-1.0
44,True,True,True,True,0.397,0.483,-0.27138126707023846,0.7069851876253199,0.2695,95.70280518234338,-7.963315768182363,-1.0
45,True,True,True,True,0.397,0.483,-0.14157342851067442,0.6889641248767968,0.2695,102.64293876267735,-7.963315768182363,-1.0
46,True,True,True,True,0.397,0.483,-0.2587232857064314,0.683719926691905,0.2695,103.01662833010316,-7.963315768182363,-1.0
47,True,True,True,True,0.397,0.483,-0.16038509362609527,0.7057134121792352,0.2695,106.14351173027225,-7.963315768182363,-1.0
48,True,True,True,True,0.397,0.483,-0.1702307331050736,0.6873321631629564,0.2695,91.35922739560698,-7.963315768182363,-1.0
49,True,True,True,True,0.397,0.483,-0.1529964682312519,0.6967250481242244,0.2695,102.59580685463487,-7.963315768182363,-1.0
50,True,True,True,True,0.397,0.483,-0.3287007612657882,0.6786892791628013,0.2695,77.05144061210211,-7.963315768182363,-1.0
51,True,True,True,True,0.397,0.483,-0.16885881352688903,0.6818351332131587,0.2695,80.3194765920271,-7.963315768182363,-1.0
52,True,True,True,True,0.397,0.483,-0.30427986146128017,0.6323290258048048,0.2695,74.60299596391975,-7.963315768182363,-1.0
53,True,True,True,True,0.397,0.483,-0.3258233040896895,0.6406071225040018,0.2695,73.03787067857075,-7.963315768182363,-1.0
54,True,True,True,True,0.397,0.483,-0.20129191155130327,0.6872577161906667,0.2695,89.79037308834478,-7.963315768182363,-1.0
55,True,True,True,True,0.397,0.483,-0.16814427217544575,0.6830583387445976,0.2695,104.99012015798995,-7.963315768182363,-1.0
56,True,True,True,True,0.397,0.483,-0.030398199454589492,0.6693108892262792,0.2695,108.84221862073163,-7.963315768182363,-1.0
57,True,True,True,False,0.397,0.483,-0.16069339193188778,0.6914096627827513,0.2695,108.96051326241368,-7.963315768182363,-1.0
58,True,True,True,True,0.397,0.483,-0.2418285015437589,0.6986599639456623,0.2695,92.22379073576818,-7.963315768182363,-1.0
59,True,True,True,True,0.397,0.483,-0.2923403249158777,0.6473052042485907,0.2695,91.48434282706675,-7.963315768182363,-1.0
60,True,True,True,True,0.397,0.483,-0.1781217830954243,0.7095900233581931,0.2695,100.60290918350104,-7.963315768182363,-1.0
61,True,True,True,True,0.397,0.483,-0.3219761476581814,0.6319294942057727,0.2695,92.06158181852955,-7.963315768182363,-1.0
62,True,True,True,True,0.397,0.483,-0.2536035931792549,0.6702621748089737,0.2695,80.8636269035861,-7.963315768182363,-1.0
63,True,True,True,True,0.397,0.483,-0.16493024722122843,0.6730738695705154,0.2695,109.45975422544804,-7.963315768182363,-1.0
64,True,True,True,True,0.397,0.483,-0.22336996530102338,0.704551754672549,0.2695,79.07462442990906,-7.963315768182363,-1.0
65,True,True,True,True,0.397,0.483,-0.3301972644175887,0.702914860054593,0.2695,77.8912241491928,-7.963315768182363,-1.0
66,True,True,True,True,0.397,0.483,-0.17405699112746867,0.6779157378799998,0.2695,91.04441448300639,-7.963315768182363,-1.0
67,True,True,True,True,0.397,0.483,-0.17598611247685766,0.6996626700113036,0.2695,98.36408388769728,-7.963315768182363,-1.0
68,True,True,True,True,0.397,0.483,-0.1690854282127807,0.7071988822401127,0.2695,104.02660366296723,-7.963315768182363,-1.0
69,True,True,True,True,0.397,0.483,-0.25197253968933875,0.6540084206753517,0.2695,87.58619192786671,-7.963315768182363,-1.0
70,True,True,True,True,0.397,0.483,-0.058159545622386566,0.7081422871793791,0.2695,105.25212938858303,-7.963315768182363,-1.0
71,True,True,True,True,0.397,0.483,-0.31197804565633064,0.7014587880220851,0.2695,87.94985226688968,-7.963315768182363,-1.0
72,True,True,True,True,0.397,0.483,-0.31711666177434117,0.6536231893998862,0.2695,92.18217895722483,-7.963315768182363,-1.0
