idx,path_found,traj_success,contact_free,door_opened,door_width,door_height,x,y,z,rot_z,state_angle,axis_pos
139,True,True,True,True,0.315,0.315,-0.10416469783089455,0.6685041888462944,0.2805,74.70867624461323,-10.055566156080955,-1.0
140,True,True,True,True,0.315,0.315,-0.33700357761730093,0.5259327278181319,0.2805,88.80738561175482,-10.055566156080955,-1.0
141,True,True,True,True,0.315,0.315,-0.23208719860542332,0.6120440019152286,0.2805,90.79136280507869,-10.055566156080955,-1.0
142,True,True,True,True,0.315,0.315,-0.2912960828338679,0.7083343337956807,0.2805,95.86536977151336,-10.055566156080955,-1.0
143,True,True,True,True,0.315,0.315,-0.08615422339433632,0.6863857167826506,0.2805,106.92455033541921,-10.055566156080955,-1.0
144,True,True,True,True,0.315,0.315,-0.32759547587904964,0.5698384871233297,0.2805,91.67798650411699,-10.055566156080955,-1.0
145,True,True,True,True,0.315,0.315,-0.2058105667813516,0.6268544087685252,0.2805,94.57379391408045,-10.055566156080955,-1.0
146,True,True,True,True,0.315,0.315,-0.2077891665918359,0.6297531670047344,0.2805,87.84556756204759,-10.055566156080955,-1.0
147,True,True,True,True,0.315,0.315,-0.1640846846052375,0.6360850991853612,0.2805,81.74012558498396,-10.055566156080955,-1.0
148,True,True,True,True,0.315,0.315,-0.1795468555981255,0.6064435881896527,0.2805,77.61564253737285,-10.055566156080955,-1.0
149,True,True,True,True,0.315,0.315,-0.08954796212245003,0.7018871610310109,0.2805,78.47617985408547,-10.055566156080955,-1.0
150,True,True,True,True,0.315,0.315,-0.21772019071955573,0.6240318560954592,0.2805,78.86053738293903,-10.055566156080955,-1.0
151,True,True,True,True,0.315,0.315,-0.18619786941394195,0.6362415364058417,0.2805,107.066949083086,-10.055566156080955,-1.0
152,True,True,True,True,0.315,0.315,-0.27359597872176505,0.6766409242903362,0.2805,83.23383049932562,-10.055566156080955,-1.0
153,True,True,True,True,0.315,0.315,-0.2591563868677261,0.647480528576023,0.2805,75.69965999906911,-10.055566156080955,-1.0
154,True,True,True,True,0.315,0.315,-0.0927983706701363,0.6779953424500966,0.2805,81.24762532244512,-10.055566156080955,-1.0
155,True,True,True,True,0.315,0.315,-0.17818685711009424,0.6274175845178644,0.2805,86.74109707604632,-10.055566156080955,-1.0
156,True,True,True,True,0.315,0.315,-0.17280261224876228,0.6103450128410399,0.2805,91.88559590560263,-10.055566156080955,-1.0
157,True,True,True,True,0.315,0.315,-0.28752684932985684,0.6174289866762236,0.2805,96.02406218189932,-10.055566156080955,-1.0
158,True,True,True,True,0.315,0.315,-0.04872304396439753,0.6831578747482969,0.2805,77.87677398484108,-10.055566156080955,-1.0
159,True,True,True,True,0.315,0.315,-0.10140404934621366,0.6257992072990883,0.2805,99.45810603739011,-10.055566156080955,-1.0
160,True,True,True,True,0.315,0.315,-0.04520786579721792,0.6689749386013559,0.2805,95.93859213369974,-10.055566156080955,-1.0
161,True,True,True,True,0.315,0.315,-0.23692716421552035,0.6508738736329424,0.2805,103.53520808147091,-10.055566156080955,-1.0
162,True,True,True,True,0.315,0.315,-0.26005550028313723,0.5730389957792883,0.2805,102.48564742728408,-10.055566156080955,-1.0
163,True,True,True,True,0.315,0.315,-0.2799008450035757,0.6675557542220459,0.2805,99.87740917396087,-10.055566156080955,-1.0
164,True,True,True,True,0.315,0.315,-0.16605618580509587,0.6377620312670158,0.2805,108.19224100025062,-10.055566156080955,-1.0
165,True,True,True,True,0.315,0.315,-0.06529184726677895,0.6258008408159826,0.2805,71.5981973028735,-10.055566156080955,-1.0
166,True,True,True,True,0.315,0.315,-0.13388088159433095,0.6203469981039674,0.2805,76.73769363380066,-10.055566156080955,-1.0
167,True,True,True,True,0.315,0.315,-0.29118876676436256,0.5550959332465193,0.2805,94.28493602595636,-10.055566156080955,-1.0
168,True,True,True,True,0.315,0.315,-0.1931088400694954,0.6406225939450026,0.2805,72.4041795585594,-10.055566156080955,-1.0
169,True,True,True,True,0.315,0.315,-0.018214724856152775,0.609948755384259,0.2805,107.76970112284425,-10.055566156080955,-1.0
170,True,True,True,True,0.315,0.315,-0.2903144222675591,0.664799452474957,0.2805,94.32335573875764,-10.055566156080955,-1.0
171,True,True,True,True,0.315,0.315,-0.2099788625906961,0.6213087313343417,0.2805,97.2430568456588,-10.055566156080955,-1.0
172,True,True,True,True,0.315,0.315,-0.27138126707023846,0.7069851876253199,0.2805,95.70280518234338,-10.055566156080955,-1.0
173,True,True,True,True,0.315,0.315,-0.33182241776047605,0.5428287937975209,0.2805,77.39727909349698,-10.055566156080955,-1.0
174,True,True,True,True,0.315,0.315,-0.08734797100784275,0.6794977329494096,0.2805,75.21816173697029,-10.055566156080955,-1.0
175,True,True,True,True,0.315,0.315,-0.09402049859308825,0.6558919415468041,0.2805,98.36475601741361,-10.055566156080955,-1.0
176,True,True,True,True,0.315,0.315,-0.14157342851067442,0.6889641248767968,0.2805,102.64293876267735,-10.055566156080955,-1.0
177,True,True,True,True,0.315,0.315,-0.09844696659169871,0.6287127290409223,0.2805,91.11221004868824,-10.055566156080955,-1.0
178,True,True,True,True,0.315,0.315,-0.15945863077298755,0.6782857273580247,0.2805,100.29771960885823,-10.055566156080955,-1.0
179,True,True,True,True,0.315,0.315,-0.25385396750537526,0.6458039608852609,0.2805,91.51525309969168,-10.055566156080955,-1.0
180,True,True,True,True,0.315,0.315,-0.2587232857064314,0.683719926691905,0.2805,103.01662833010316,-10.055566156080955,-1.0
181,True,True,True,True,0.315,0.315,-0.2361856236008379,0.5769049303768258,0.2805,96.53842280414432,-10.055566156080955,-1.0
182,True,True,True,True,0.315,0.315,-0.16038509362609527,0.7057134121792352,0.2805,106.14351173027225,-10.055566156080955,-1.0
183,True,True,True,True,0.315,0.315,-0.2698714579594021,0.5633693304580323,0.2805,94.14985717672852,-10.055566156080955,-1.0
184,True,True,True,True,0.315,0.315,-0.15486549739496194,0.6130779783466376,0.2805,103.26262240854732,-10.055566156080955,-1.0
185,True,True,True,True,0.315,0.315,-0.23435429297975863,0.5796150543443992,0.2805,77.09835049228778,-10.055566156080955,-1.0
186,True,True,True,True,0.315,0.315,-0.1702307331050736,0.6873321631629564,0.2805,91.35922739560698,-10.055566156080955,-1.0
187,True,True,True,True,0.315,0.315,-0.1356013606455413,0.663091948295215,0.2805,100.13380356988947,-10.055566156080955,-1.0
188,True,True,True,True,0.315,0.315,-0.2575043411646682,0.6307223525396357,0.2805,83.53998965260612,-10.055566156080955,-1.0
189,True,True,True,True,0.315,0.315,-0.1529964682312519,0.6967250481242244,0.2805,102.59580685463487,-10.055566156080955,-1.0
190,True,True,True,True,0.315,0.315,-0.3287007612657882,0.6786892791628013,0.2805,77.05144061210211,-10.055566156080955,-1.0
191,True,True,True,True,0.315,0.315,-0.16885881352688903,0.6818351332131587,0.2805,80.3194765920271,-10.055566156080955,-1.0
192,True,True,True,True,0.315,0.315,-0.08029627568248549,0.6606229794602716,0.2805,100.787160072634,-10.055566156080955,-1.0
193,True,True,True,True,0.315,0.315,-0.037328282819557745,0.6275248659379067,0.2805,100.86968708145129,-10.055566156080955,-1.0
194,True,True,True,True,0.315,0.315,-0.21454705587771258,0.6262411963218142,0.2805,78.79358328584074,-10.055566156080955,-1.0
195,True,True,True,True,0.315,0.315,-0.23109004827597762,0.6054106328603731,0.2805,108.61382788822795,-10.055566156080955,-1.0
196,True,True,True,True,0.315,0.315,-0.07681572994274638,0.6479656900649715,0.2805,96.69766287822377,-10.055566156080955,-1.0
197,True,True,True,True,0.315,0.315,-0.0593354427027577,0.6884166902436157,0.2805,91.2187953393669,-10.055566156080955,-1.0
198,True,True,True,True,0.315,0.315,-0.30427986146128017,0.6323290258048048,0.2805,74.60299596391975,-10.055566156080955,-1.0
199,True,True,True,True,0.315,0.315,-0.15943037013683123,0.6414074247396582,0.2805,89.82414722295765,-10.055566156080955,-1.0
200,True,True,True,True,0.315,0.315,-0.2709044450750995,0.6393047112223734,0.2805,71.03766371423548,-10.055566156080955,-1.0
201,True,True,True,True,0.315,0.315,-0.1444673840402531,0.6486902614734238,0.2805,94.50332027030299,-10.055566156080955,-1.0
202,True,True,True,True,0.315,0.315,-0.16534559563757797,0.6059963110986023,0.2805,74.51766456851841,-10.055566156080955,-1.0
203,True,True,True,True,0.315,0.315,-0.3258233040896895,0.6406071225040018,0.2805,73.03787067857075,-10.055566156080955,-1.0
204,True,True,True,True,0.315,0.315,-0.1443200385665163,0.612608863575767,0.2805,71.58364636908674,-10.055566156080955,-1.0
205,True,True,True,True,0.315,0.315,-0.20129191155130327,0.6872577161906667,0.2805,89.79037308834478,-10.055566156080955,-1.0
206,True,True,True,True,0.315,0.315,-0.1888226534332606,0.6379051545717985,0.2805,104.56735412579877,-10.055566156080955,-1.0
207,True,True,True,True,0.315,0.315,-0.16814427217544575,0.6830583387445976,0.2805,104.99012015798995,-10.055566156080955,-1.0
208,True,True,True,True,0.315,0.315,-0.22438230496359293,0.5750842866371105,0.2805,109.93845646539421,-10.055566156080955,-1.0
209,True,True,True,True,0.315,0.315,-0.030398199454589492,0.6693108892262792,0.2805,108.84221862073163,-10.055566156080955,-1.0
210,True,True,True,True,0.315,0.315,-0.05475378311392043,0.7039420461832777,0.2805,71.6283648902901,-10.055566156080955,-1.0
211,True,True,True,True,0.315,0.315,-0.05398756671936028,0.6578106188773092,0.2805,104.98212658498016,-10.055566156080955,-1.0
212,True,True,True,True,0.315,0.315,-8.514707766538177e-05,0.7071305991789092,0.2805,91.53034098703277,-10.055566156080955,-1.0
213,True,True,True,True,0.315,0.315,-0.06209623440833201,0.6628752523508283,0.2805,96.69549260729285,-10.055566156080955,-1.0
214,True,True,True,True,0.315,0.315,-0.16069339193188778,0.6914096627827513,0.2805,108.96051326241368,-10.055566156080955,-1.0
215,True,True,True,True,0.315,0.315,-0.16717670398701304,0.6707248528188612,0.2805,81.84184597348296,-10.055566156080955,-1.0
