x,y,z,Mx,My,Mz
-0.606108,2.59567,4.847977,0.067794,0.081098,-0.099744
-1.466106,1.77567,4.697975,0.085794,0.120098,-0.101744
-0.896107,1.56567,4.207977,0.163794,0.060098,-0.102744
-1.116106,0.62567,4.117981,0.169794,0.069098,-0.100744
-1.526108,0.78567,3.707977,0.144794,0.086098,-0.102744
-0.906107,1.51567,3.197975,0.129794,0.058098,-0.101744
-1.236107,1.76567,3.137978,0.074794,0.077098,-0.101744
-0.216106,2.03567,4.167976,0.163794,0.136099,-0.099744
-1.006107,2.59567,3.037979,0.066794,0.220098,-0.097744
-0.716106,2.71567,3.837975,0.040794,0.199098,-0.095744
-0.826107,2.98567,5.047977,0.027794,0.127099,-0.096744
-0.656107,2.22567,5.187977,0.068794,0.164099,-0.096744
0.273893,1.39567,5.887978,0.100794,0.096098,-0.100744
-0.216106,-0.09433,5.577976,0.087794,0.107098,-0.106744
-1.416107,1.35567,4.14798,0.095794,0.108099,-0.097744
-2.406107,1.46567,3.417976,0.062794,0.097098,-0.095744
-1.926107,1.18567,3.067978,0.104794,0.045098,-0.092744
-1.086107,1.19567,2.937981,0.158794,0.068098,-0.097744
-1.476107,1.04567,4.047981,0.075794,0.118098,-0.095744
-0.286106,1.64567,3.50798,0.109794,0.142098,-0.094744
-1.036106,2.21567,3.307976,0.017794,0.191099,-0.094744
-0.616106,2.39567,3.547981,0.063794,0.237098,-0.093744
-0.656107,2.81567,4.317978,0.091794,0.162098,-0.096744
-1.056107,2.69567,4.32798,0.080794,0.150099,-0.089744
-0.836107,2.37567,5.05798,0.112794,0.158098,-0.093744
-1.716106,1.22567,4.637978,0.035794,0.122099,-0.092744
-0.506107,-0.15433,4.707977,0.084794,0.101098,-0.099744
-0.786106,-0.37433,4.607979,0.057794,0.077098,-0.105744
-1.146107,0.38567,2.917976,0.101794,0.078098,-0.093744
-2.146107,1.10567,3.237976,0.110794,0.087098,-0.095744
-2.376106,1.12567,3.037979,0.114794,0.148098,-0.089744
-1.676107,2.08567,2.747978,0.116794,0.135098,-0.091744
-1.576107,1.57567,3.587975,0.085794,0.215099,-0.097744
-0.486107,2.46567,3.407974,0.112794,0.224099,-0.094744
-0.396107,2.42567,3.387978,0.056794,0.214099,-0.098744
-0.666107,2.43567,4.497978,0.018794,0.179098,-0.089744
-0.706106,2.85567,5.197979,0.079794,0.122099,-0.091744
-1.556107,2.09567,4.697975,0.048794,0.110098,-0.088744
-1.046106,1.60567,5.05798,0.079794,0.061098,-0.090744
-1.306107,0.65567,4.727982,0.121794,0.111098,-0.092744
-1.496107,1.10567,3.187981,0.158794,0.101098,-0.092744
-1.286106,1.26567,2.747978,0.181794,0.114098,-0.099744
-1.296106,1.35567,2.957977,0.194794,0.117099,-0.093744
-1.366106,2.00567,3.07798,0.177794,0.091098,-0.094744
-1.686108,1.85567,2.907974,0.119794,0.189098,-0.088744
-1.016108,3.49567,3.57798,0.092794,0.139098,-0.090744
-0.636106,2.85567,3.637978,0.043794,0.218098,-0.087744
-0.776108,3.04567,3.927979,0.020794,0.210099,-0.090744
-0.626106,3.37567,4.617981,0.114794,0.165098,-0.092744
-1.216106,2.90567,4.407974,0.125794,0.179098,-0.092744
-0.516108,2.19567,4.687981,0.164794,0.159099,-0.101744
-1.316107,1.01567,4.07798,0.165794,0.189098,-0.093744
-2.106108,1.89567,3.377975,0.140794,0.102098,-0.096744
-2.026108,0.98567,3.437981,0.144794,0.105098,-0.087744
-2.256107,1.06567,3.07798,0.123794,0.089099,-0.086744
-1.546106,1.32567,2.667976,0.117794,0.070098,-0.094744
-1.476107,1.03567,3.187981,0.093794,0.119098,-0.096744
-0.436108,2.15567,3.82798,0.141794,0.133098,-0.101744
-0.086107,1.56567,2.907974,0.077794,0.266098,-0.095744
-0.666107,2.34567,3.657974,-0.017206,0.200098,-0.095744
-1.016108,2.96567,4.767975,0.021794,0.174098,-0.088744
-1.416107,3.13567,4.407974,0.066794,0.211098,-0.092744
-0.246107,2.26567,4.847977,0.155794,0.156098,-0.101744
-1.156107,1.35567,4.997978,0.109794,0.121098,-0.093744
-1.766108,2.02567,4.14798,0.145794,0.146098,-0.093744
-2.766108,1.44567,3.247978,0.127794,0.160098,-0.085744
-2.326107,0.93567,3.427979,0.137794,0.086098,-0.088744
-1.746107,1.03567,2.967979,0.172794,0.094099,-0.086744
-1.636106,0.52567,4.107979,0.147794,0.136099,-0.091744
-0.666107,1.76567,3.447975,0.114794,0.088098,-0.095744
-0.326107,1.19567,4.117981,0.065794,0.152098,-0.095744
-0.256107,1.16567,5.05798,0.074794,0.174098,-0.098744
-0.656107,1.59567,4.167976,0.074794,0.232098,-0.089744
-0.896107,3.05567,4.177979,0.051794,0.199098,-0.091744
-0.956106,3.40567,4.57798,0.071794,0.197098,-0.089744
-1.616106,1.96567,4.857979,0.068794,0.226098,-0.090744
-1.316107,2.11567,4.097977,0.140794,0.109098,-0.094744
-1.876106,1.78567,4.167976,0.119794,0.073098,-0.091744
-1.656107,1.31567,3.527977,0.105794,0.073098,-0.093744
-1.356108,0.45567,3.197975,0.146794,0.124098,-0.096744
-1.566107,0.42567,4.017975,0.129794,0.115098,-0.097744
-0.416107,1.00567,3.707977,0.149794,0.107098,-0.092744
-0.886106,1.47567,4.837978,0.110794,0.125098,-0.093744
-0.396107,1.61567,3.877975,0.128794,0.152098,-0.094744
-0.716106,1.41567,3.987976,0.022794,0.204098,-0.093744
0.243893,1.92567,4.357979,0.070794,0.245099,-0.094744
-0.486107,3.26567,4.527977,0.069794,0.184098,-0.091744
-1.136106,2.28567,4.177979,0.024794,0.163099,-0.087744
-1.086107,2.47567,4.407974,0.059794,0.065098,-0.089744
-1.476107,0.80567,4.817978,0.113794,0.124098,-0.091744
-1.556107,0.92567,3.667976,0.113794,0.058098,-0.089744
-1.316107,0.31567,3.477982,0.131794,0.069098,-0.092744
-1.256107,-0.04433,3.937981,0.128794,0.087098,-0.091744
-0.876106,0.43567,4.677979,0.151794,0.090099,-0.094744
-1.806107,1.39567,3.777977,0.116794,0.157098,-0.089744
-1.466106,2.68567,2.637978,0.125794,0.167098,-0.089744
-0.496107,1.58567,3.937981,0.136794,0.197098,-0.090744
0.353893,2.34567,4.627975,0.121794,0.157098,-0.090744
0.703894,1.98567,4.857979,0.066794,0.176098,-0.094744
-0.136106,2.21567,4.207977,-0.018206,0.133098,-0.093744
-0.066107,2.37567,4.607979,0.085794,0.134098,-0.091744
-1.206106,1.64567,5.367977,0.134794,0.188098,-0.091744
-1.366106,1.70567,4.287979,0.173794,0.169098,-0.094744
-2.296106,1.58567,3.57798,0.082794,0.095098,-0.090744
-1.946106,0.86567,4.107979,0.092794,0.101098,-0.089744
-2.156107,1.06567,3.927979,0.115794,0.126099,-0.089744
-2.036106,0.98567,3.717979,0.142794,0.140099,-0.092744
-1.026108,1.63567,3.657974,0.145794,0.110098,-0.091744
-1.036106,1.59567,4.187981,0.102794,0.165098,-0.089744
-0.506107,2.66567,4.247978,0.106794,0.164099,-0.086744
0.153893,2.16567,3.857979,0.094794,0.188098,-0.091744
-0.026108,1.77567,4.487976,0.082794,0.190098,-0.089744
-1.016108,2.88567,5.067978,0.104794,0.180098,-0.088744
-1.306107,2.27567,5.437977,0.121794,0.202098,-0.088744
-0.796106,1.99567,4.467979,0.129794,0.095098,-0.090744
-0.476107,1.09567,4.387978,0.180794,0.122099,-0.089744
-0.576107,1.09567,4.957977,0.196794,0.143098,-0.089744
-1.316107,0.09567,3.607979,0.146794,0.138098,-0.089744
-2.116106,0.52567,4.047981,0.095794,0.092098,-0.085744
-1.516108,0.83567,3.317978,0.144794,0.126099,-0.088744
-1.536106,0.77567,4.047981,0.125794,0.148098,-0.091744
-0.286106,1.85567,4.477982,0.161794,0.148098,-0.091744
-0.826107,2.83567,4.207977,0.103794,0.148098,-0.087744
-0.926107,2.09567,3.837975,0.111794,0.188098,-0.089744
-1.356108,1.91567,4.367981,0.014794,0.186098,-0.091744
-0.326107,1.06567,4.977978,0.055794,0.234098,-0.095744
-0.776108,2.10567,4.07798,0.051794,0.135098,-0.090744
-0.856108,1.55567,5.267979,0.099794,0.158098,-0.087744
-1.006107,2.12567,4.407974,0.139794,0.098098,-0.087744
-1.806107,2.04567,3.847977,0.119794,0.078098,-0.089744
-1.666107,1.45567,4.387978,0.136794,0.129098,-0.090744
-1.716106,0.97567,3.777977,0.129794,0.143098,-0.091744
-1.776108,0.71567,3.997978,0.119794,0.183098,-0.090744
-1.416107,1.65567,3.687981,0.100794,0.156098,-0.091744
-0.946106,1.61567,3.75798,0.140794,0.154099,-0.093744
-0.966106,2.95567,3.637978,0.108794,0.096098,-0.087744
-0.446106,2.28567,4.277977,0.094794,0.148098,-0.085744
-1.036106,2.11567,4.867977,0.072794,0.153098,-0.087744
-1.266108,2.08567,4.667976,0.088794,0.205099,-0.086744
-1.686108,2.42567,4.347977,0.064794,0.195098,-0.081744
-0.486107,1.51567,4.50798,0.159794,0.168099,-0.086744
-0.276108,1.34567,5.067978,0.121794,0.102098,-0.095744
-0.856108,2.09567,4.447975,0.068794,0.048099,-0.090744
-0.976107,1.24567,4.157974,0.137794,0.129098,-0.087744
-1.726107,1.72567,4.447975,0.103794,0.127099,-0.086744
-1.486107,1.54567,4.117981,0.119794,0.150099,-0.090744
-1.256107,1.28567,4.467979,0.094794,0.116098,-0.091744
-0.436108,1.25567,4.847977,0.124794,0.123098,-0.092744
-1.056107,2.29567,3.907974,0.124794,0.144098,-0.088744
-1.426107,1.92567,3.977982,0.145794,0.182099,-0.093744
-0.766108,0.97567,4.717979,0.193794,0.228099,-0.091744
-1.346107,1.71567,4.657974,0.080794,0.118098,-0.087744
-1.266108,1.81567,3.887978,0.062794,0.085099,-0.088744
-1.106108,2.12567,3.89798,0.110794,0.115098,-0.088744
-0.296106,1.18567,4.39798,0.167794,0.198098,-0.102744
-1.006107,0.77567,4.417976,0.125794,0.188098,-0.090744
-1.736107,1.27567,4.117981,0.070794,0.126099,-0.086744
-0.546106,1.61567,4.137978,0.160794,0.175098,-0.089744
-0.716106,2.27567,4.797981,0.133794,0.127099,-0.087744
0.003893,0.97567,5.517979,0.202794,0.192098,-0.094744
-0.936108,1.64567,4.677979,0.107794,0.169098,-0.090744
-0.456106,1.41567,4.537979,0.094794,0.170098,-0.092744
-0.796106,2.16567,4.107979,0.127794,0.163099,-0.093744
-1.116106,1.87567,3.987976,0.097794,0.134098,-0.090744
-0.786106,1.37567,4.487976,0.094794,0.095098,-0.088744
-1.296106,1.52567,4.067978,0.088794,0.089099,-0.090744
-1.536106,1.64567,3.627975,0.100794,0.131099,-0.090744
