x,y,z,Mx,My,Mz
1.768137,-4.269198,-12.716572,0.549803,0.03832,-0.05801
0.978136,-5.149199,-12.656574,0.546803,0.04532,-0.05301
1.258137,-5.259198,-12.516575,0.568803,0.03132,-0.05201
1.638136,-4.799198,-12.606571,0.619803,0.06032,-0.05501
1.708138,-4.709199,-12.016575,0.622803,0.05932,-0.05501
1.348137,-4.159199,-13.396572,0.655803,0.07932,-0.05501
1.688137,-4.839198,-12.576572,0.712803,0.09132,-0.05301
0.778137,-5.539199,-13.546574,0.782803,0.15032,-0.04101
1.008137,-5.409199,-10.886578,0.841803,0.07132,-0.04101
1.008137,-4.889198,-13.726574,0.812803,0.03032,-0.04301
1.448137,-5.079199,-12.076572,0.871803,0.05332,-0.04501
1.208138,-4.459199,-13.726574,0.835803,0.02432,-0.04901
1.498137,-4.779199,-12.31657,0.845803,0.04832,-0.05201
1.468136,-4.339198,-13.916576,0.807803,0.01832,-0.05201
1.788137,-4.439198,-13.116573,0.813803,0.02032,-0.05401
1.458138,-3.359199,-14.376575,0.754803,-0.03268,-0.05301
1.798136,-4.119199,-13.896572,0.782803,0.02532,-0.05401
0.788137,-4.249199,-13.286572,0.739803,-0.00368,-0.05101
1.178137,-4.969198,-14.456577,0.784803,0.01132,-0.05201
0.378138,-5.259198,-14.686573,0.755803,-0.00268,-0.04501
0.638136,-5.339198,-16.56657,0.774803,0.01632,-0.04301
0.488136,-5.129198,-14.656574,0.703803,-0.05868,-0.04401
1.028137,-5.799198,-16.126575,0.722803,-0.01968,-0.04601
0.478136,-5.219198,-15.466572,0.654803,-0.07368,-0.04301
0.078136,-4.639198,-17.516575,0.641803,-0.02168,-0.04001
-0.091864,-4.029199,-17.636578,0.582803,-0.07568,-0.03701
-0.271864,-3.339198,-17.426571,0.589803,-0.05868,-0.03101
-0.181864,-2.569199,-18.946575,0.596803,-0.06668,-0.02901
-0.521864,-2.089198,-18.376575,0.613803,-0.07368,-0.02501
-0.671864,-2.369199,-19.346577,0.593803,-0.08268,-0.02201
-0.541862,-2.879198,-19.306576,0.603803,-0.07168,-0.02301
-1.591864,-3.089198,-18.636578,0.549803,-0.10768,-0.01801
-1.701864,-3.359199,-18.106571,0.565803,-0.09968,-0.01601
-1.991863,-3.979198,-17.696575,0.546803,-0.09368,-0.01101
-2.281864,-3.659199,-17.806576,0.520803,-0.07768,-0.00901
-1.951864,-3.039199,-17.716572,0.520803,-0.09368,-0.01101
-1.171864,-3.499199,-17.896572,0.569803,-0.06068,-0.01201
-1.591864,-2.519198,-17.666576,0.504803,-0.12768,-0.01101
-1.111864,-3.199199,-17.56657,0.507803,-0.09868,-0.01801
-1.211863,-3.349198,-16.406574,0.447803,-0.13568,-0.01801
-0.481863,-4.639198,-17.186573,0.432803,-0.06268,-0.02601
-1.371862,-4.129198,-16.626575,0.343803,-0.13668,-0.02501
-0.921864,-4.169198,-18.236576,0.434803,-0.07368,-0.01901
-0.871862,-1.749199,-18.486576,0.470803,-0.08868,-0.02201
-0.551863,-1.389198,-18.356571,0.586803,-0.10568,-0.02501
-0.831863,-1.239199,-17.446575,0.598803,-0.10868,-0.01901
-1.941864,-0.919198,-18.116573,0.454803,0.01432,-0.01601
-1.991863,-1.619199,-19.296574,0.389803,-0.00068,-0.01701
-2.331863,-1.039199,-19.916576,0.374803,-0.05268,-0.01001
-1.761864,-0.519198,-19.306576,0.412803,-0.04468,-0.01001
-2.011864,-0.139198,-19.686573,0.412803,-0.00868,-0.01001
-2.241863,0.040802,-20.256573,0.412803,-0.00168,-0.01101
-2.291862,0.150802,-20.216572,0.424803,0.00632,-0.01101
-2.351864,-0.149199,-21.136578,0.425803,0.01932,-0.01101
-2.431864,-0.139198,-20.056576,0.412803,-0.01168,-0.01001
-2.051863,-0.969198,-21.166576,0.356803,-0.05368,-0.00901
-2.501863,-0.459198,-21.31657,0.323803,-0.09068,-0.00601
-2.071863,-0.979198,-21.206577,0.354803,-0.05968,-0.00801
